Date,Price
2023-11-16,19.625
2023-11-15,20.045
2023-11-14,19.9075
2023-11-13,20.4025
2023-11-10,20.5925
2023-11-09,20.505
2023-11-08,20.0775
2023-11-07,20.4025
2023-11-06,20.2075
2023-11-03,19.875
2023-11-02,20.0875
2023-11-01,19.64
2023-10-31,20.0175
2023-10-30,19.98
2023-10-27,19.8075
2023-10-26,20.0375
2023-10-25,19.9325
2023-10-24,20.0975
2023-10-23,20.0375
2023-10-20,20.0475
2023-10-19,20.3
2023-10-18,20.7225
2023-10-17,21.6125
2023-10-16,21.4825
2023-10-13,21.2725
2023-10-12,21.3675
2023-10-11,21.855
2023-10-10,22.0825
2023-10-09,21.9975
2023-10-06,22.4175
2023-10-05,21.9775
2023-10-04,21.6175
2023-10-03,21.7225
2023-10-02,21.4175
2023-09-29,21.64
2023-09-28,21.96
2023-09-27,22.0275
2023-09-26,21.575
2023-09-25,21.9825
2023-09-22,21.9675
2023-09-21,22.265
2023-09-20,22.6675
2023-09-19,22.395
2023-09-18,22.6575
2023-09-15,22.935
2023-09-14,23.175
2023-09-13,23.02
2023-09-12,23.4975
2023-09-11,23.6175
2023-09-08,23.615
2023-09-07,23.2425
2023-09-06,23.3375
2023-09-05,23.0225
2023-09-01,23.1325
2023-08-31,22.77
2023-08-30,22.5625
2023-08-29,22.89
2023-08-28,23.33
2023-08-25,23.155
2023-08-24,22.9525
2023-08-23,22.9875
2023-08-22,22.8375
2023-08-21,23.26
2023-08-18,22.88
2023-08-17,22.6475
2023-08-16,22.82
2023-08-15,22.895
2023-08-14,23.2775
2023-08-11,22.905
2023-08-10,22.6125
2023-08-09,22.475
2023-08-08,22.225
2023-08-07,22.525
2023-08-04,22.325
2023-08-03,22.76
2023-08-02,22.2525
2023-08-01,22.1975
2023-07-31,21.8325
2023-07-28,21.7475
2023-07-27,21.7125
2023-07-26,21.38
2023-07-25,20.725
2023-07-24,20.78
2023-07-21,20.8625
2023-07-20,20.885
2023-07-19,20.4925
2023-07-18,21.5675
2023-07-17,20.95
2023-07-14,21.1575
2023-07-13,21.4375
2023-07-12,21.285
2023-07-11,21.5
2023-07-10,21.38
2023-07-07,21.5275
2023-07-06,21.1425
2023-07-05,21.0725
2023-07-03,20.9225
2023-06-30,20.7675
2023-06-29,20.7025
2023-06-28,20.04
2023-06-27,20.2225
2023-06-26,19.8675
2023-06-23,20.0025
2023-06-22,19.89
2023-06-21,19.9675
2023-06-20,20.0775
2023-06-16,20.07
2023-06-15,20.235
2023-06-14,19.945
2023-06-13,19.695
2023-06-12,19.2475
2023-06-09,19.95
2023-06-08,19.8625
2023-06-07,20.1525
2023-06-06,20.295
2023-06-05,20.11
2023-06-02,20.1225
2023-06-01,19.6175
2023-05-31,19.3075
2023-05-30,19.735
2023-05-26,19.585
2023-05-25,19.3025
2023-05-24,18.95
2023-05-23,18.6875
2023-05-22,18.925
2023-05-19,18.855
2023-05-18,18.9325
2023-05-17,18.63
2023-05-16,18.7175
2023-05-15,19.1525
2023-05-12,18.9425
2023-05-11,18.965
2023-05-10,19.1825
2023-05-09,19.4975
2023-05-08,19.5275
2023-05-05,19.1375
2023-05-04,17.8525
2023-05-03,18.1375
2023-05-02,18.5325
2023-05-01,19.295
2023-04-28,19.4625
2023-04-27,19.4825
